img_id	confidence	recall	area
biodiversity_0615	0.867495	0.993132	0.01110840
biodiversity_0616	0.839372	0.876013	0.09039307
biodiversity_0620	0.885751	0.910949	0.05448914
biodiversity_0621	0.882929	0.919880	0.07013321
biodiversity_0623	0.937126	0.990186	0.02137756
biodiversity_0624	0.803394	0.844355	0.02757263
biodiversity_0626	0.854170	0.880364	0.25964737
biodiversity_0627	0.826350	0.847131	0.23311996
biodiversity_0629	0.696325	0.729293	0.01699448
biodiversity_0632	0.780044	0.810348	0.01828384
biodiversity_0633	0.331344	0.367977	0.01717758
biodiversity_0642	0.939231	0.960468	0.05220413
biodiversity_0644	0.153173	0.113725	0.00097275
biodiversity_0645	0.638718	0.713623	0.01069641
biodiversity_0646	0.418208	0.471843	0.04274368
biodiversity_0649	0.873940	0.895949	0.12589645
biodiversity_0650	0.786592	0.811735	0.10123062
biodiversity_0652	0.712837	0.748149	0.02782440
biodiversity_0653	0.764035	0.806766	0.02503204
biodiversity_0655	0.874141	0.908196	0.04184341
biodiversity_0656	0.857608	0.888231	0.09464264
biodiversity_0657	0.837075	0.877667	0.05828094
biodiversity_0660	0.843828	0.889487	0.02481842
biodiversity_0661	0.773914	0.801181	0.07492447
biodiversity_0664	0.799472	0.838280	0.10654831
biodiversity_0666	0.853061	0.891532	0.08978653
biodiversity_0669	0.921296	0.950330	0.04569626
biodiversity_0670	0.980573	1.000000	0.02137756
biodiversity_0671	0.887432	0.914776	0.02757263
biodiversity_0672	0.942036	0.962774	0.10001373
biodiversity_0674	0.809202	0.837376	0.12061691
biodiversity_0675	0.556381	0.615912	0.01558304
biodiversity_0676	0.664957	0.731282	0.01487732
biodiversity_0677	0.742409	0.824448	0.00708389
biodiversity_0678	0.833918	0.880186	0.03355789
biodiversity_0680	0.497340	0.592679	0.00489807
biodiversity_0690	0.842890	0.863411	0.03921127
biodiversity_0692	0.684361	0.774280	0.01139069
biodiversity_0695	0.881751	0.896432	0.11097717
biodiversity_0696	0.883628	0.908720	0.20557022
biodiversity_0697	0.825404	0.854654	0.11868286
biodiversity_0702	0.866002	0.906741	0.04634476
biodiversity_0704	0.714492	0.766804	0.01572037
biodiversity_0705	0.942323	0.969072	0.00555038
biodiversity_0708	0.767630	0.805270	0.10770416
biodiversity_0710	0.826523	0.886351	0.02772522
biodiversity_0712	0.859332	0.910423	0.09245300
biodiversity_0717	0.804315	0.923578	0.01053238
biodiversity_0718	0.808681	0.915248	0.01053238
biodiversity_0720	0.790658	0.865614	0.01473236
biodiversity_0722	0.746619	0.815106	0.02671814
biodiversity_0723	0.611671	0.670912	0.01138306
biodiversity_0725	0.607964	0.638834	0.02512741
biodiversity_0726	0.521426	0.510769	0.01859665
biodiversity_0735	0.725088	0.766436	0.02645874
biodiversity_0737	0.589111	0.622971	0.01245499
biodiversity_0738	0.130155	0.003659	0.00312805
biodiversity_0742	0.907177	0.940263	0.02899170
biodiversity_0743	0.831027	0.872212	0.12982559
biodiversity_0745	0.852965	0.885801	0.09650421
biodiversity_0749	0.766510	0.856680	0.01296234
biodiversity_0750	0.610369	0.663906	0.01335907
biodiversity_0751	0.002014	0.000000	0.00039673
biodiversity_0752	0.915180	0.949998	0.12679672
biodiversity_0753	0.763126	0.831063	0.04172897
biodiversity_0756	0.910426	0.941820	0.02091599
biodiversity_0758	0.736552	0.774341	0.00666046
biodiversity_0759	0.890774	0.936100	0.05533981
biodiversity_0760	0.920246	0.966225	0.04867935
biodiversity_0765	0.768347	0.893155	0.01053238
biodiversity_0768	0.872231	0.926329	0.01543045
biodiversity_0769	0.837715	0.907735	0.01509094
biodiversity_0771	0.315163	0.315421	0.00653076
biodiversity_0772	0.391840	0.401734	0.00923920
biodiversity_0774	0.924678	0.968962	0.01462555
biodiversity_0775	0.855649	0.889376	0.02262115
biodiversity_0776	0.637536	0.670802	0.00799561
biodiversity_0781	0.212064	0.250929	0.00205231
biodiversity_0782	0.588780	0.626007	0.02273560
biodiversity_0783	0.576359	0.621542	0.02068329
biodiversity_0785	0.096397	0.000000	0.00244141
biodiversity_0786	0.690767	0.779690	0.01329803
biodiversity_0787	0.753451	0.833745	0.01544189
biodiversity_0788	0.560724	0.662230	0.00458527
biodiversity_0792	0.901209	0.924377	0.07970047
biodiversity_0795	0.924484	0.948581	0.00712204
biodiversity_0796	0.837299	0.899427	0.02598190
biodiversity_0798	0.753100	0.837500	0.00122070
biodiversity_0799	0.874474	0.920104	0.14280701
biodiversity_0800	0.712669	0.800947	0.02899551
biodiversity_0801	0.864098	0.957821	0.00217056
biodiversity_0805	0.819550	0.851494	0.01225281
biodiversity_0806	0.904844	0.939160	0.03316879
biodiversity_0807	0.923367	0.965712	0.02091599
biodiversity_0815	0.798784	0.817079	0.00786209
biodiversity_0820	0.640435	0.750000	0.00140381
biodiversity_0821	0.903157	0.946561	0.03133774
biodiversity_0822	0.851499	0.890878	0.03792953
biodiversity_0836	0.869195	0.954464	0.00427246
biodiversity_0838	0.668961	0.702360	0.03491211
biodiversity_0839	0.896790	0.926326	0.03810883
biodiversity_0840	0.876341	0.924178	0.02344513
biodiversity_0841	0.738158	0.767079	0.04595566
biodiversity_0842	0.751121	0.785939	0.09316635
biodiversity_0844	0.645101	0.704380	0.01523972
biodiversity_0845	0.774509	0.925000	0.00122070
biodiversity_0846	0.852863	0.915276	0.02971649
biodiversity_0853	0.945093	0.975169	0.01920319
biodiversity_0854	0.973962	0.989719	0.06344986
biodiversity_0856	0.982237	1.000000	0.01643372
biodiversity_0862	0.671183	0.691362	0.01210022
biodiversity_0863	0.709245	0.728997	0.02152252
biodiversity_0867	0.465065	0.557065	0.00140381
biodiversity_0870	0.609311	0.670811	0.00767136
biodiversity_0874	0.657333	0.771528	0.01532745
biodiversity_0875	0.759365	0.836754	0.03308868
biodiversity_0876	0.747137	0.806477	0.01955414
biodiversity_0881	0.789690	0.876944	0.00564194
biodiversity_0882	0.725446	0.778847	0.02853012
biodiversity_0884	0.798446	0.837740	0.01586914
biodiversity_0885	0.691285	0.726327	0.02824020
biodiversity_0886	0.775317	0.810561	0.05569839
biodiversity_0887	0.828380	0.877825	0.03899765
biodiversity_0890	0.823248	0.855550	0.07901382
biodiversity_0892	0.537869	0.611057	0.00393295
biodiversity_0893	0.624339	0.754443	0.00815582
biodiversity_0900	0.894720	0.948837	0.03131485
biodiversity_0901	0.950452	0.967343	0.09181213
biodiversity_0903	0.989107	1.000000	0.01892090
biodiversity_0909	0.444594	0.455446	0.00423813
biodiversity_0911	0.711277	0.766503	0.03969955
biodiversity_0914	0.377438	0.509719	0.00176620
biodiversity_0915	0.971496	0.998912	0.00350571
biodiversity_0916	0.947352	0.973735	0.01960754
